screenshot,type,date,country,deploys,target,target_detail,reference
media/1.png,spearphishing,2012-05-08,BH,FinSpy,activist,,
media/2.png,spearphishing,2015-08-20,DE,,activist,,https://citizenlab.org/2015/08/iran_two_factor_phishing
